"Commit","Date","FilesTouched","LinesAdded","SurvivedInHEAD","SurvivalRate","ImmediateReworkUnknown","ImmediateReworkRate"
"fce645559441ec2ebb600d0a5c95164aca2a01b9","2025-11-14 09:09:26Z","50","2223","2220","0.9987","True",""
"884d0c67f736e79735c2d57c6370b29a4cec5bf6","2025-11-05 14:42:33Z","5","67","67","1","True",""
"5370e9f442bd58c20a1db9aacafb8ccf9bbc8ddc","2025-11-05 12:37:03Z","34","1064","1057","0.9934","True",""
"1960fd67342e93bbb3b9f991675e4a663e4b949c","2025-11-04 07:56:41Z","1",,"1","0","True",""
"bc9c8bb1872a2437d2b79fd7595ee3d32d2d6235","2025-11-04 07:45:55Z","49","3131","3055","0.9757","False","0.0325"
"312e9ef1ebc74332905379b724243af130025717","2025-10-28 19:27:48Z","9","106","106","1","True",""
"b6d6eaf4a1f30748dbd8201ba2732c3f72368551","2025-10-28 18:16:44Z","3","8","8","1","True",""
"0066477d78759adc118b356716aee51f7356b36d","2025-10-28 11:54:09Z","1","43","34","0.7907","True",""
"927533ff351f2acafe8cbe81cd853f2c48331d30","2025-10-28 10:19:15Z","10","64","63","0.9844","True",""
"747117ab02cf51d2a740593431c59ca37252f7bb","2025-10-27 23:57:01Z","34","2387","2333","0.9774","True",""
"4959ce3241261e32ed192dcdba06d2f5c5a23b98","2025-10-23 09:42:44Z","1",,"1","0","True",""
"70ea3c37513523aba02f13d230a9b5e55203e525","2025-10-23 09:35:38Z","1","34","34","1","False","0"
"ffb9326f1f0c3539a23af11112891c647ed333ec","2025-10-23 08:17:35Z","1","3","3","1","True",""
"7bdf8572bde69936ab1204de18108895117de33d","2025-10-23 07:46:20Z","10","743","685","0.9219","False","0.8654"
"a003467d47d32961e8dd8f0f3551048116cfcaee","2025-10-23 06:29:29Z","1",,"1","0","True",""
"35a4b8dc56e68c60644b3d8c10c573c5e6013c2a","2025-10-22 23:42:26Z","1","122","122","1","True",""
"2eff777f0b66320e8b3e3cea673a2bf0b080d5d7","2025-10-22 14:06:36Z","11","159","108","0.6792","True",""
"af639559c2113c224f10dc8f563f2715d6310d7b","2025-10-22 11:38:42Z","21","46","27","0.587","True",""
"0ba92fea41cbba041c55ac0221f61fd219422675","2025-10-21 04:57:32Z","8","321","186","0.5794","True",""
"c70e67559327bebfff53120513fc65a366af2814","2025-10-20 23:05:08Z","0","0","0","0","True",""
"bc6f266c3bbb31e708ac7c6b8a756ba09e106e2f","2025-10-20 23:02:14Z","1","2","2","1","True",""
"dd654870c76e1289c0296c9c3e1b56464070bc17","2025-10-20 23:01:41Z","1","2","0","0","False","1"
"22326b93a40dd2765cfa89f6c7e1806f4406f3c8","2025-10-20 22:55:15Z","10","305","301","0.9869","False","0.25"
"fc33867b18fb40367af538bf6f11f6d30ee2931a","2025-10-20 21:34:54Z","4","30","30","1","True",""
"16ace24d8492b48f9dd85aa17e6fa6445705d3e7","2025-10-20 20:42:30Z","5","74","73","0.9865","False","0.2"
"1288741428a1e063f57b2cf1402a43c29b3da1c5","2025-10-20 14:24:28Z","3","84","82","0.9762","True",""
"19e3ebbc6b9e48ba1f6db3394be3b73283321f0d","2025-10-20 14:00:30Z","48","407","379","0.9312","False","0"
"1f045150d7c4000daf15d7259bfc151f415f727a","2025-10-17 21:42:30Z","1","4","3","0.75","True",""
"3edd881f8797dc80dc06ecb63c9a2ee7e1f663ce","2025-10-17 21:36:00Z","1","3","3","1","True",""
"8407e066a4ae059363688afd2a447e596c8304ab","2025-10-17 21:25:35Z","6","55","54","0.9818","True",""
"4cc20795bfea15e40289c2156ef894f7fd02776d","2025-10-17 21:16:29Z","1","3","0","0","True",""
"868aad72d0c080e0a28f2170bb5fad57d5772839","2025-10-17 21:00:17Z","1","3","0","0","True",""
"de041de4090a26c2a573d7155e845ac31705f15e","2025-10-17 18:32:23Z","1","102","0","0","True",""
"33e0bf139c0408ce6e6abe09565af9336bfbce46","2025-10-17 18:27:30Z","2","14","14","1","True",""
"621aa8361612484f693407de838abf5e7dac4b60","2025-10-17 18:22:00Z","7","599","596","0.995","False","0"
"5b4c1335fcd5ca481f0bb7c4cc6b092c4d078f77","2025-10-17 17:44:13Z","1","334","334","1","True",""
"e8e49b5e54b6fead317824eabd280143456994dd","2025-10-17 17:30:41Z","36","2214","2071","0.9354","True",""
"2c35ba136d4fef72d2e27ef7620ecafe95f238ec","2025-10-16 09:43:08Z","8","90","84","0.9333","True",""
"041c80032d263fed553b1c84f4398faecb0ff1d9","2025-10-16 09:28:49Z","12","245","208","0.849","True",""
"80b5dd7bb0a4180cfe8628fe244ffe55d0f99122","2025-10-16 09:23:50Z","1",,"1","0","True",""
"8d941151fe15b7b5c260f1b01c56d5cd11411df2","2025-10-16 09:23:27Z","6","150","88","0.5867","True",""
"ca3770806dbd7f93d4ea2cdf272942c03b39e86f","2025-10-16 08:25:54Z","6","520","520","1","True",""
